country_name	country_iso2	week	category	weekly_rank	show_title	season_title	cumulative_weeks_in_top_10
Argentina	AR	2022-01-02	TV	1	Cobra Kai	Cobra Kai: Season 4	1
Argentina	AR	2022-01-02	TV	2	The Queen of Flow	The Queen of Flow: Season 2	7
Argentina	AR	2022-01-02	TV	3	Café con aroma de mujer	Café con aroma de mujer: Season 1	1
Argentina	AR	2022-01-02	TV	4	Emily in Paris	Emily in Paris: Season 2	2
Argentina	AR	2022-01-02	TV	5	The Queen of Flow	The Queen of Flow: Season 1	9
Argentina	AR	2022-01-02	TV	6	The Witcher	The Witcher: Season 2	3
Argentina	AR	2022-01-02	TV	7	Daughter From Another Mother	Daughter From Another Mother: Season 2	1
Argentina	AR	2022-01-02	TV	8	The Girl from Oslo	The Girl from Oslo: Season 1	2
Argentina	AR	2022-01-02	TV	9	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	27
Argentina	AR	2022-01-02	TV	10	Money Heist	Money Heist: Part 5	9
Argentina	AR	2021-12-26	Films	1	Don't Look Up	N/A	1
Argentina	AR	2021-12-26	Films	2	Fast & Furious Presents: Hobbs & Shaw	N/A	1
Argentina	AR	2021-12-26	Films	3	Fracture	N/A	2
Argentina	AR	2021-12-26	Films	4	The Unforgivable	N/A	3
Argentina	AR	2021-12-26	Films	5	Vicky and Her Mystery	N/A	1
Argentina	AR	2021-12-26	Films	6	Back to the Outback	N/A	3
Argentina	AR	2021-12-26	Films	7	Spider-Man: Homecoming	N/A	1
Argentina	AR	2021-12-26	Films	8	Crawl	N/A	1
Argentina	AR	2021-12-26	Films	9	John Wick: Chapter 3 - Parabellum	N/A	3
Argentina	AR	2021-12-26	Films	10	Before I Go to Sleep	N/A	1
Argentina	AR	2021-12-26	TV	1	The Queen of Flow	The Queen of Flow: Season 2	6
Argentina	AR	2021-12-26	TV	2	The Witcher	The Witcher: Season 2	2
Argentina	AR	2021-12-26	TV	3	Emily in Paris	Emily in Paris: Season 2	1
Argentina	AR	2021-12-26	TV	4	The Queen of Flow	The Queen of Flow: Season 1	8
Argentina	AR	2021-12-26	TV	5	The Girl from Oslo	The Girl from Oslo: Season 1	1
Argentina	AR	2021-12-26	TV	6	Money Heist	Money Heist: Part 5	8
Argentina	AR	2021-12-26	TV	7	The Witcher	The Witcher: Season 1	2
Argentina	AR	2021-12-26	TV	8	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	26
Argentina	AR	2021-12-26	TV	9	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	21
Argentina	AR	2021-12-26	TV	10	Rebelde Way	Rebelde Way: Temporada 1	3
Argentina	AR	2021-12-19	Films	1	The Unforgivable	N/A	2
Argentina	AR	2021-12-19	Films	2	John Wick: Chapter 3 - Parabellum	N/A	2
Argentina	AR	2021-12-19	Films	3	Back to the Outback	N/A	2
Argentina	AR	2021-12-19	Films	4	A California Christmas: City Lights	N/A	1
Argentina	AR	2021-12-19	Films	5	Fracture	N/A	1
Argentina	AR	2021-12-19	Films	6	Anonymously Yours	N/A	1
Argentina	AR	2021-12-19	Films	7	The Hand of God	N/A	1
Argentina	AR	2021-12-19	Films	8	Waves	N/A	1
Argentina	AR	2021-12-19	Films	9	Redemption Day	N/A	2
Argentina	AR	2021-12-19	Films	10	Yes Man	N/A	1
Argentina	AR	2021-12-19	TV	1	The Queen of Flow	The Queen of Flow: Season 2	5
Argentina	AR	2021-12-19	TV	2	Money Heist	Money Heist: Part 5	7
Argentina	AR	2021-12-19	TV	3	The Witcher	The Witcher: Season 2	1
Argentina	AR	2021-12-19	TV	4	The Queen of Flow	The Queen of Flow: Season 1	7
Argentina	AR	2021-12-19	TV	5	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	25
Argentina	AR	2021-12-19	TV	6	Titans	Titans: Season 3	2
Argentina	AR	2021-12-19	TV	7	The Witcher	The Witcher: Season 1	1
Argentina	AR	2021-12-19	TV	8	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	20
Argentina	AR	2021-12-19	TV	9	Rebelde Way	Rebelde Way: Temporada 1	2
Argentina	AR	2021-12-19	TV	10	Pablo Escobar, el patrón del mal	Pablo Escobar, el patrón del mal: Season 1	5
Argentina	AR	2021-12-12	Films	1	The Unforgivable	N/A	1
Argentina	AR	2021-12-12	Films	2	Redemption Day	N/A	1
Argentina	AR	2021-12-12	Films	3	Spoiled Brats	N/A	3
Argentina	AR	2021-12-12	Films	4	John Wick: Chapter 3 - Parabellum	N/A	1
Argentina	AR	2021-12-12	Films	5	The Whole Truth	N/A	2
Argentina	AR	2021-12-12	Films	6	The Power of the Dog	N/A	2
Argentina	AR	2021-12-12	Films	7	Back to the Outback	N/A	1
Argentina	AR	2021-12-12	Films	8	Bordertown: Mural Murders	N/A	1
Argentina	AR	2021-12-12	Films	9	Troy	N/A	1
Argentina	AR	2021-12-12	Films	10	Bruised	N/A	3
Argentina	AR	2021-12-12	TV	1	The Queen of Flow	The Queen of Flow: Season 2	4
Argentina	AR	2021-12-12	TV	2	Money Heist	Money Heist: Part 5	6
Argentina	AR	2021-12-12	TV	3	The Queen of Flow	The Queen of Flow: Season 1	6
Argentina	AR	2021-12-12	TV	4	Titans	Titans: Season 3	1
Argentina	AR	2021-12-12	TV	5	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	24
Argentina	AR	2021-12-12	TV	6	Lost in Space	Lost in Space: Season 3	2
Argentina	AR	2021-12-12	TV	7	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	19
Argentina	AR	2021-12-12	TV	8	Jurassic World Camp Cretaceous	Jurassic World Camp Cretaceous: Season 4	2
Argentina	AR	2021-12-12	TV	9	Rebelde Way	Rebelde Way: Temporada 1	1
Argentina	AR	2021-12-12	TV	10	Maid	Maid: Limited Series	11
Argentina	AR	2021-12-05	Films	1	Spoiled Brats	N/A	2
Argentina	AR	2021-12-05	Films	2	The Power of the Dog	N/A	1
Argentina	AR	2021-12-05	Films	3	Bruised	N/A	2
Argentina	AR	2021-12-05	Films	4	The Whole Truth	N/A	1
Argentina	AR	2021-12-05	Films	5	More the Merrier	N/A	1
Argentina	AR	2021-12-05	Films	6	Red Notice	N/A	4
Argentina	AR	2021-12-05	Films	7	A Castle For Christmas	N/A	2
Argentina	AR	2021-12-05	Films	8	The Hangover: Part III	N/A	1
Argentina	AR	2021-12-05	Films	9	A Boy Called Christmas	N/A	2
Argentina	AR	2021-12-05	Films	10	The Croods	N/A	3
Argentina	AR	2021-12-05	TV	1	The Queen of Flow	The Queen of Flow: Season 2	3
Argentina	AR	2021-12-05	TV	2	Money Heist	Money Heist: Part 5	5
Argentina	AR	2021-12-05	TV	3	The Queen of Flow	The Queen of Flow: Season 1	5
Argentina	AR	2021-12-05	TV	4	Pasión de Gavilanes	Pasión de Gavilanes: Season 1	23
Argentina	AR	2021-12-05	TV	5	Lost in Space	Lost in Space: Season 3	1
Argentina	AR	2021-12-05	TV	6	Elves	Elves: Season 1	1
Argentina	AR	2021-12-05	TV	7	Yo soy Betty, la fea	Yo soy Betty, la fea: Season 1	18
Argentina	AR	2021-12-05	TV	8	Maid	Maid: Limited Series	10
Argentina	AR	2021-12-05	TV	9	Jurassic World Camp Cretaceous	Jurassic World Camp Cretaceous: Season 4	1
Argentina	AR	2021-12-05	TV	10	Hellbound	Hellbound: Season 1	3
Argentina	AR	2021-11-28	Films	1	Bruised	N/A	1
Argentina	AR	2021-11-28	Films	2	Spoiled Brats	N/A	1
Argentina	AR	2021-11-28	Films	3	Red Notice	N/A	3
Argentina	AR	2021-11-28	Films	4	Five Feet Apart	N/A	2
Argentina	AR	2021-11-28	Films	5	The Croods	N/A	2
Argentina	AR	2021-11-28	Films	6	A Boy Called Christmas	N/A	1
Argentina	AR	2021-11-28	Films	7	Extinct	N/A	1
Argentina	AR	2021-11-28	Films	8	The Transporter Refueled	N/A	1
